Age ;Perf;Cat
7;6,882312457;Record Valide
8;7,336757153;Record Valide
9;7,722007722;Record Valide
10;7,974481659;Record Valide
11;8,123476848;Record Valide
12;8,389261745;Record Valide
13;8,510638298;Record Valide
14;8,771929825;Record Valide
15;8,952551477;Record Valide
16;8,976660682;Record Valide
17;8,984725966;Record Valide
18;9,182736455;Record Valide
19;9,191176471;Record Valide
20;9,285051068;Record Valide
21;9,293680297;Record Valide
22;9,389671362;Record Valide
23;9,345794393;Record Valide
24;9,319664492;Record Valide
25;9,285051068;Record Valide
26;9,267840593;Record Valide
27;9,293680297;Record Valide
28;9,532888465;Record Valide
29;9,242144177;Record Valide
30;9,276437848;Record Valide
31;9,267840593;Record Valide
32;9,259259259;Record Valide
33;9,242144177;Record Valide
34;9,276437848;Record Valide
35;9,216589862;Record Valide
36;9,310986965;Record Valide
37;9,233610342;Record Valide
38;9,082652134;Record Valide
39;9,115770283;Record Valide
40;9,099181074;Record Valide
41;8,865248227;Record Valide
43;8,912655971;Record Valide
44;9,017132552;Record Valide
46;8,818342152;Record Valide
47;8,650519031;Record Valide
48;8,620689655;Record Valide
14;6,393861893;Record Para
15;6,743088334;Record Para
16;6,93962526;Record Para
17;7,352941176;Record Para
18;7,326007326;Record Para
19;7,412898443;Record Para
20;7,283321194;Record Para
21;7,412898443;Record Para
22;7,575757576;Record Para
23;7,23065799;Record Para
24;7,575757576;Record Para
25;7,23065799;Record Para
26;7,251631617;Record Para
27;7,61614623;Record Para
28;7,48502994;Record Para
29;7,524454477;Record Para
30;7,633587786;Record Para
31;6,958942241;Record Para
32;7,142857143;Record Para
33;7,315288954;Record Para
34;6,854009596;Record Para
35;6,711409396;Record Para
36;6,958942241;Record Para
37;6,988120196;Record Para
38;6,476683938;Record Para
39;6,34115409;Record Para
40;6,30517024;Record Para
15;7,751937984;Mandy Francois-Elie
16;7,8125;Mandy Francois-Elie
17;8,130081301;Mandy Francois-Elie
18;8,333333333;Mandy Francois-Elie
19;7,911392405;Mandy Francois-Elie
23;7,102272727;Mandy Francois-Para
24;7,575757576;Mandy Francois-Para
25;7,342143906;Mandy Francois-Para
26;7,315288954;Mandy Francois-Para
27;7,434944238;Mandy Francois-Para
28;7,462686567;Mandy Francois-Para
29;7,54147813;Mandy Francois-Para
30;7,62195122;Mandy Francois-Para
18;6,523157208;Bahi Neda
19;6,756756757;Bahi Neda
20;6,963788301;Bahi Neda
21;6,849315068;Bahi Neda
22;6,963788301;Bahi Neda
23;6,954102921;Bahi Neda
24;7,204610951;Bahi Neda
25;7,102272727;Bahi Neda
26;6,93000693;Bahi Neda
